ingredientes,Caloric Value,Carbohydrates,Protein,Fat,label
"hamburger, corn flour yellow, almond paste",1717,227.1,41.4,77.4,0
"refried red beans, ginger root",338,36.4,11.767999999999999,16.128,1
"tomato sauce with herbs cheese, smoothie high protein creamy chocolate slimfast",254,27.1,17.2,8.2,1
"wheat bran bread, hoisin sauce",124,24.299999999999997,3.7,1.7,1
"sesame sticks, clams raw",249,12.8,34.4,5.9,1
"turkey roll, wheat germ bread, nachos taco bell",475,50.1,12.7,24.599999999999998,1
"taffy, rice bowl with chicken, vegetable oil spread fat free",102,20.5,1.887,1.4,1
"cranberry apple juice, soymilk nonfat, scallops cooked",233,49.4,8.1,0.40399999999999997,1
"herb tea, lemon chicken, tortilla chips low fat",1559,145.0,71.69999999999999,76.5,0
"gum drops, lamp spleen cooked, safflower seed meal",575,18.200000000000003,88.19999999999999,14.841999999999999,1
"luncheon meat beef, ground emu cooked",188,0.0,32.8,5.3999999999999995,1
"oriental rice cracker mix, navy beans canned, veal kidneys cooked",739,68.2,73.0,18.7,1
"cod cooked, corn tamale",498,44.3,46.9,13.5,1
"pork centre loin chops raw, cornmeal whole grain",780,93.8,51.1,22.4,0
"frybread, breadsticks, queen crab raw, prunes stewed",946,173.70000000000002,21.799999999999997,22.0,0
"veal rib cooked, snickers mars, queso seco cheese",1039,37.1,85.5,59.400000000000006,0
"french fries deep fried, raisins chocolate coated",612,97.80000000000001,6.5,25.3,0
"zucchini cooked, au jus, wonton soup",136,22.400000000000002,9.5,1.7000000000000002,1
"spanish tomato sauce, almonds raw, peanut oil",209,18.0,3.8,14.899999999999999,1
"pork spareribs cooked, raisin bread, vanilla wafers low fat",1144,75.6,57.9,67.2,0
"vegetable egg roll, glazed donut, string beans wellsley farms, gingersnap cookies",245,38.300000000000004,6.7,7.3,1
"rowan, steak sandwich, banana bread",898,137.6,38.0,24.7,0
"original chicken sandwich burger king, prickly pear cooked, crimini mushrooms",577,54.1,24.491,29.261,1
"chow mein stir fry master foods, turnips raw, bakers yeast dry",90,13.4,3.2,0.7,1
"white corn raw, baking chocolate, casaba melon",336,51.5,10.899999999999999,17.4,1
"rice flour brown, cocoa butter oil, shrimp imitation, dulce de leche",783,133.9,16.2,19.8,0
"jalapeno peppers canned, pork beef salami cooked",78,6.7,4.0,4.5,1
"fruit juice bar, sesame crunch, ocean perch cooked",124,16.5,10.4,1.589,1
"pork beef salami cooked, lemon peel, ranch dressing reduced fat",71,3.8000000000000003,2.9320000000000004,5.102,1
"carob, soy flour roasted, atlantic croaker raw",592,42.7,45.6,28.900000000000002,1
"veal breast cooked, biscuit mcdonalds, peanut brittle, gooseberries canned",1336,100.8,84.7,65.6,0
"buckwheat raw, beef lungs cooked, barbera red wine, herb tea",577,14.6,63.5,11.6,1
"azumaya tofu vitasoy, cornmeal white",897,133.8,44.0,19.3,0
"chocolate wafers, soybean margarine",519,81.143,7.452,19.7,0
"chili powder, white corn cooked, gewurztraminer white wine, snap beans cooked",271,37.4,6.3,2.3,1
"indian squash cooked, pinot blanc white wine, crookneck squash canned, chili with beans canned",471,47.2,16.7,14.6,1
"mung bean sprouts cooked, chicken patty",196,12.2,11.4,11.799999999999999,1
"baked potato with cheese sauce, mung beans raw, wonton soup, pomegranate juice",1397,220.5,69.0,32.4,0
"fennel, caesar dressing low calorie, ham patties grilled",295,20.900000000000002,10.928,19.7,1
"milkfish raw, chocolate covered graham crackers",110,9.3,6.6,5.1,1
"beef noodle soup, pasta with sliced franks in tomato sauce, turmeric ground, rice drink",516,73.3,21.5,14.7,1
"pistachio nuts raw, bulgur cooked, tamarind nectar, palm kernel oil",1025,104.6,30.7,61.0,0
"raisins chocolate coated, sugar apple",462,86.60000000000001,5.699999999999999,15.0,0
"romanesco cooked, pickle relish",59,13.0,3.797,0.461,1
"shiitake mushrooms raw, cornmeal yellow, rosemary dried, dolphinfish cooked",764,126.8,49.38100000000001,4.3389999999999995,0
"tostada with beef cheese, lamb liver cooked, vanilla wafers low fat, spot raw",1486,90.2,137.5,61.2,0
"rosemary fresh, lamb brain cooked, northern pike cooked",854,0.1,120.005,38.099999999999994,0
"cattail, lemongrass citronella",10,2.2,0.23800000000000002,0.076,1
"ham steak, snap beans canned, whole wheat bread",264,39.0,18.5,5.3,1
"pork beef salami cooked, original chicken sandwich chick fil a, banana, sweet cinnamon rolls",609,76.8,9.4,22.4,0
"dulce de leche, strawberry guava, fruit n yogurt parfait mcdonalds",220,42.4,5.41,3.308,1
"instant white rice raw, oyster sauce, lentil sprouts",452,97.2,14.5,1.366,0
"leeks cooked, watermelon, angel food cake, tomato ketchup mp",211,47.4,4.4,0.8,1
"catfish raw, ham and cheese spread",226,0.3,26.599999999999998,12.2,1
"prune plums canned, sturgeon cooked, water dannon, halavah",539,49.3,37.1,22.175,1
"spaghetti with meatballs, sugar wafers with creme filling, savory ground, artichoke raw",315,44.5,13.373999999999999,10.729,1
"mashed potato with milk and butter, goat cheese",340,35.309,10.0,17.3,1
"ham roasted, monterey cheese low fat, yellowtail raw",1212,1.4,147.1,65.3,0
"soybean lecithin oil, walleye pike raw, turkey roast roasted",461,4.1,59.2,23.299999999999997,1
"requeijao cremoso light catupiry, veggie burger, onion rings fried",200,13.7,12.1,9.600000000000001,1
"semillon white wine, lamb lungs cooked, morel mushrooms",556,5.3,76.2,11.870000000000001,1
"green olives pickled, chocolate coffee beans, enchilada with cheese",533,36.9,17.573,35.1,1
"chocolate chip cookie, vanilla extract, egg bagel",147,23.6,3.3,3.3689999999999998,1
"gatorade g2 pepsi, sprite coca cola",82,20.900000000000002,0.169,0.11499999999999999,1
"trout raw, little india little lunch, chicken broth",293,3.0,17.4,16.3,1
"mayonnaise imitation fat free, grape leaves canned",33,5.8,1.2429999999999999,1.0,1
"drumstick leaves cooked, millet flour, apricot jam",517,104.50000000000001,15.100000000000001,5.51,1
"turnips raw, chocolate yogurt, lambs quarters raw, beef tenderloin steak raw",624,47.169,39.18,30.067,1
"walleye pike cooked, maple syrup",200,13.4,30.49,1.9469999999999998,1
"chocolate wafers, sugar wafers with creme filling, chicken dumplings soup, apple juice concentrate",1121,189.4,22.5,32.4,0
"longans dried, soursop, spinach egg noodles cooked, salat mix alestro",426,80.4,10.427,8.491,0
"edamame cooked, biscuit, hotcakes mcdonalds",659,77.8,28.6,27.5,0
"chili peppers canned, broccoli raab cooked, pout raw",328,9.100000000000001,62.9,4.0,1
"butternut squash raw, yam cooked, biscuit with egg steak",658,82.1,21.9,28.799999999999997,0
"corn pasta dry, white bread",452,97.5,10.4,3.2,0
"catfish cooked, herring raw, chives raw",498,0.1,59.43,26.988000000000003,1
"quince, granola, trail mix with chocolate chips, pork blade steak braised",1746,112.08699999999999,97.50000000000001,105.912,0
"salsify cooked, meat ravioli canned, rice flour white",929,183.29999999999998,22.0,11.3,0
"whitefish raw, blueberry pie, chicken back raw",813,49.2,50.099999999999994,46.1,0
"fruit jam, kale cooked",98,20.1,3.5,1.4949999999999999,1
"cardoon raw, crab cake, haddock raw, dark chocolate",498,30.3,45.5,21.2,1
"cabbage cooked, cowpeas raw, adzuki beans cooked, pummelo",418,86.2,23.3,0.5790000000000001,1
"soy flour, mango, basil fresh",227,52.3,4.8,2.489,1
"macadamia nuts roasted, lingcod raw",428,4.0,46.5,25.5,1
"semolina, burrito with beans cheese, ground beef raw, kale cooked",2528,185.7,103.39999999999999,150.5,0
"fava beans cooked, refried red beans, chili without beans canned, veal spleen cooked",1251,84.0,125.8,43.800000000000004,0
"corn pasta cooked, keikitos",372,61.400000000000006,6.6,11.6,1
"burrito with beans cheese beef, blueberry muffin",379,50.0,9.9,15.799999999999999,1
"mountain yam cooked, whiting cooked",203,29.0,19.4,1.3,1
"saccharin sweetener, chocolate pudding fat free, sour cream shoprite",525,113.69999999999999,3.1,5.3,0
"mixed nuts roasted, premium crispy chicken club sandwich mcdonalds, lamb shank raw, sweetn sour sauce mcdonalds",1773,76.0,128.79999999999998,106.8,0
"sweet cheese rolls, rye bread toasted, caraway seeds, beef luncheon meat jellied",373,47.5,14.0,15.0,1
"northern pike cooked, honey mustard dressing, baked potato with cheese sauce",894,50.0,91.19999999999999,37.5,0
"grapes canned, wolffish cooked",391,25.2,54.6,7.6,1
"babassu oil, lamb kidneys cooked, worcestershire sauce, beef lungs cooked",2653,5.8,122.1,238.4,0
"soy margarine, tomato soup canned",227,22.6,6.3,13.2,1
"salsa sauce, lemon peel, duck sauce, rowan",339,75.7,5.632,4.703999999999999,0
"sunflower seed butter, cheese coffeecake, soy flour low fat, pastrami beef fat free",696,68.2,50.0,28.3,1
"orange pineapple juice, new zealand spinach cooked, chicken gravy",225,20.3,6.999999999999999,13.98,1
"onion gravy dry, pumpkin seed sunfish raw",120,16.2,11.5,1.0,1
"sweet green peppers cooked, macadamia nuts roasted, pout cooked, vegetarian stew",817,25.8,103.4,33.50000000000001,0
"sesame crunch, celeriac raw",75,15.3,2.5,1.1,1
"hot sour soup, nutmeg butter oil, chinese cabbage pak choi raw",2027,11.6,7.1,220.9,0
"tofu fried, acorn dried, veal rib cooked",623,16.4,62.099999999999994,33.7,1
"purslane cooked, black bean soup, egg large",393,43.7,14.1,12.9,1
"pheasant meat raw, sweet red peppers cooked, salsa con queso, biscuit kentucky fried chicken",2010,54.5,194.0,107.29999999999998,0
"kohlrabi cooked, vegetable salad with shrimp",119,15.4,12.7,1.9,1
"macadamia nuts raw, rye dinner roll",161,23.5,4.800000000000001,5.5,1
"sprouted soybean raw, chocolate donut, banana bread, gushers fruit gushers",881,72.4,14.399999999999999,28.599999999999998,0
"crackers whole wheat, mullet raw, vienna bread toasted, apricot dried",369,41.9,30.0,9.114999999999998,1
"puffed rice, cheese popcorn, gourd cooked, chili con carne",582,98.4,19.299999999999997,13.299999999999999,1
"chinook salmon raw, cottage cheese creamed, sweet red peppers cooked",748,5.2,81.80000000000001,42.3,0
"maple sugar, taro leaves raw, lamb sirloin cooked, queso blanco cheese",1185,15.8,89.936,83.161,0
"soya vanille joghurt alpro, ham steak, sesbania flower cooked",113,6.3,12.6,3.007,1
"corn cake, pork chitterlings cooked, egg yolk raw, taro chips",167,9.7,6.949000000000001,11.1,1
"coconut meat, burbot raw, leeks cooked, queen crab raw",1572,69.9,41.8,134.39999999999998,0
"tapioca pudding, kohlrabi raw, adzuki beans cooked",509,97.30000000000001,23.900000000000002,4.8,1
"meatless meatloaf, yellow snap beans canned, sucker cooked",294,12.9,40.3,8.9,1
"sausage burrito mcdonalds, vanilla yogurt",484,47.7,21.4,19.200000000000003,1
"parsnips cooked, orange juice, virginia peanuts roasted",377,54.0,11.299999999999999,15.5,1
"poppyseed oil, sesame meal, nopales cooked, egg noodles dry",448,39.4,12.2,28.903,0
"guava sauce cooked, whole wheat spaghetti dry, pork centre loin chops raw, ground beef raw",2028,43.8,111.19999999999999,154.8,0
"beef sandwich steak raw, nance, soybean dry roasted",674,49.4,46.699999999999996,36.5,1
"pork boston roast cooked, pork leg cap steak cooked, corned beef raw, sweet green peppers canned",1935,6.1,181.7,126.0,0
"chocolate wafers, t bone steak raw",1537,81.1,93.10000000000001,92.2,0
"orange apricot juice, chicken broth, sage ground, chicken box mcdonalds",212,38.7,2.058,4.846,1
"sesbania flower raw, arrowhead, coriander leaves raw, pumpkin flowers cooked",37,7.6000000000000005,2.412,0.365,1
"cottage cheese nonfat, cabarnet franc red wine, soy chips, kamut cooked",586,80.7,33.7,4.1,1
"potato raw, caraway cheese, okra cooked",305,45.300000000000004,14.399999999999999,8.8,1
"turnip greens raw, pork blade roll raw, nacho cheese tortilla chips low fat, strawberry topping",237,36.3,7.914000000000001,7.496,1
"beef brisket cooked, buckwheat flour, ground emu raw, m ms milk chocolate mars",1355,114.6,89.5,60.900000000000006,0
"chayote raw, romano cheese",44,6.2,2.7,1.5,1
"chicken broth, salt pork raw",224,1.0,2.4,23.3,1
"merlot red wine, banana bread",308,34.800000000000004,2.6,6.0,1
"oat bran bread toasted, black tea",72,12.5,3.1,1.3,1
"peppermint, pom potes materne, ricotta cheese",50,1.9,1.538,2.204,1
"hamburger burger king, turkey roll",298,27.1,19.6,12.3,1
"white pepper, drumstick pods raw, cured beef dried",48,10.16,3.2,0.219,1
"caramel custard flan, pork carcass raw",2150,69.7,77.0,171.4,0
"halibut raw, sweet potato leaves raw, yuca cassava chips, congee with pork shrimp and squid plus egg",573,4.3,76.65400000000001,6.300000000000001,1
"shrimp canned, hubbard squash cooked",185,12.3,28.900000000000002,2.4,1
"hyacinth beans cooked, anchovy canned in oil, snap beans raw",266,47.2,18.8,1.7,1
"vegetable juice, crackers, butternut squash cooked",215,41.9,4.4,4.6000000000000005,1
"pasilla peppers dried, menhaden fish oil, red salmon sockeye filets smoked",2363,3.6,66.4,231.4,0
"honey loaf, sesbania flower raw, millet cooked, feta cheese",373,45.20000000000001,20.311999999999998,11.795,1
"spot cooked, chicken mushroom chowder soup, groundcherries",584,54.0,30.8,27.8,1
"whole wheat spaghetti dry, pepperoni pizza, witloof chicory",420,58.800000000000004,17.6,13.631,1
"matzo crackers with egg, bacon baked, potato chips sour cream and onion",1204,124.1,22.3,71.19999999999999,0
"american shad cooked, white pepper, beer light budweiser",379,2.0,31.566,25.4,1
"sweet potato baked, lupins cooked, green goddess dressing, peanuts chocolate coated",381,42.1,28.900000000000002,12.799999999999999,1
"egg white raw, honey mustard dressing fat free",42,6.0,3.8000000000000003,0.263,1
"coconut meat dried, cheshire cheese, beef kidneys cooked, muenster cheese",828,9.6,47.1,68.0,0
"bay leaf, yellow corn raw, pine nuts dried",1517,141.4,34.186,100.242,0
"cinnamon toaster pastry, chayote cooked, matzo crackers whole wheat, ocean perch cooked",387,63.400000000000006,16.6,9.200000000000001,1
"queso blanco cheese, dinner roll whole wheat, fish broth, citrus fruit juice",593,46.599999999999994,32.1,31.557,1
"pineapple juice, turkey roast roasted, syrah red wine, lamb shank roasted",1069,40.1,100.8,41.599999999999994,0
"instant coffee powder decaffeinated, split pea soup with ham bacon",195,30.0,11.799999999999999,3.169,1
"ostrich tip raw, chimichanga with beef, sour cherries canned",711,91.4,40.1,22.0,0
"cola coca cola, granola",444,71.19999999999999,8.2,14.6,1
"potato puffs, wheat bran, pineapple juice, chayote cooked",536,112.30000000000001,13.5,14.6,0
"apricot jam, kale cooked, vanilla fudge with nuts",213,40.3,4.4,5.31,1
"sesame crunch, pink salmon raw",413,0.9,65.4,14.6,1
"japanese somen noodles dry, zwieback, pork bologna, pita chips",337,46.9,11.7,11.1,1
"ground bison cooked, soy proteins isolate",544,2.1,86.4,22.6,1
"whiskey, okara",151,15.4,3.9,2.1,1
"glutinous white rice raw, bread crumbs, sliced turkey breast, millet cooked",1336,270.40000000000003,35.5,9.0,0
"pulled pork in barbecue sauce, chinese chestnuts roasted, coffeecake with chocolate frosting, beef tenderloin steak cooked",1158,109.89999999999999,75.6,45.0,0
"mixed vegetables canned, sunflower seeds dry roasted",135,19.4,5.0,4.6,1
"chestnuts cooked, ground emu raw",194,7.9,27.200000000000003,5.1000000000000005,1
"cocoa butter oil, pork salami, semillon white wine, pita bread",447,38.199999999999996,7.9,17.7,1
"veal kidneys cooked, raisin bread, cottage cheese nonfat, queen crab raw",517,26.4,71.1,12.500000000000002,1
"chicken back cooked, succotash, puffed rice, lentil sprouts",541,97.9,27.0,8.6,1
"pistachio nuts raw, gelatin dessert",858,72.1,28.2,55.8,0
"sandwich with tuna salad, ground pork raw, picnic loaf",978,56.699999999999996,55.0,59.2,0
"pink lady apple, veal spleen cooked",463,3.9,83.19999999999999,10.1,1
"pepperoni beef, bluefin tuna raw, potato salad with egg, lebanon bologna",542,40.8,22.799999999999997,31.8,1
"chocolate fudge, sesame crunch",79,13.9,0.6000000000000001,2.4,1
"fruit n yogurt parfait mcdonalds, baby zucchini",158,31.2,4.3999999999999995,1.9889999999999999,1
"orange roughy cooked, ham salad",127,4.8,10.3,7.3,1
"white fibre wonder bread, french beans raw",726,136.0,38.1,4.7,0
